Tipo;Categoria / Grupo;Nome do Item / Sabor;Descrição;Preço (R$);Disponível;Grupos Vinculados;Foto URL
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"32. Vegetariana";"Molho de tomate caseiro, mussarela, palmito, milho, brócolis, tomate e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737697523613blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"33. Veneza";"Molho de tomate caseiro, mussarela, lombo, bacon, ovos e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737697468914blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"34. Verona";"Molho de tomate caseiro, mussarela, lombo canadense, palmito, milho, catupiry, alho frito e orégano. ";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737697634118blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"35. Atum";"Molho de tomate caseiro, mussarela, atum, cebola, catupiry e orégano. +";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696503697blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"36. Bolonhesa";"Molho de tomate caseiro, mussarela, carne moída, cebola, tomate e pimentão.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"37. Camarão alho e óleo";"Molho de tomate caseiro, mussarela, camarão ao alho e óleo e orégano.";"60,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696442271blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"38. Camarão aos 4 queijos";"Molho de tomate caseiro, mussarela, camarão, parmesão, provolone e catupiry.";"60,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696390224blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"39. Coração";"Molho de tomate caseiro, mussarela, coração, cebola e catupiry.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"4. Brócolis";"Molho de tomate caseiro, mussarela, brócolis, tomate, alho frito e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737694875750blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"40. Champignon";"Molho de tomate caseiro, mussarela, champignon, catupiry e orégano.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"41. Filé ao alho";"Molho de tomate caseiro, mussarela, filé, alho frito e orégano.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737697069975blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"42. Filé com fritas";"Molho de tomate caseiro, mussarela, tiras de carne, batata frita e orégano.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737697011792blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"43. Filé com catupiry";"Molho de tomate caseiro, mussarela, tiras de carne e catupiry.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"44. Filé com cheddar";"Molho de tomate caseiro, mussarela, Filé e cheddar.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"45. Filé aos 4 queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry e filé.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"46. Filé aos 5 queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry, cheddar e filé.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"47. Filé com tomate";"Molho de tomate caseiro, mussarela, filé e tomate.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"48. Mexicana";"Molho de tomate caseiro, mussarela, iscas de carne, cheddar, cebola e nachos.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"49. Moda da casa";"Molho de tomate caseiro, mussarela, frango, palmito, bacon, milho, azeitona, catupiry e orégano. ";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"5. Brócolis com bacon";"Molho de tomate caseiro, mussarela, brócolis, bacon, tomate, alho frito e orégano. ";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695214279blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"50. Palmito";"Molho de tomate caseiro, mussarela, Palmito e orégano.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737697259780blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"51. Pepperoni";"Molho de tomate caseiro, mussarela, pepperoni e orégano. ";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696842466blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"52. Rúcula com tomate seco";"Molho de tomate caseiro, mussarela, tomate seco, rúcula e orégano.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696604432blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"53. Siciliana";"Molho de tomate caseiro, mussarela, bacon, champignon, catupiry e orégano.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696739414blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"54. Strogonoff de carne";"Molho de tomate caseiro, mussarela, strogonoff de carne e batata palha.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696784707blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"55. Strogonoff de frango";"Molho de tomate caseiro, mussarela, strogonoff de frango e batata palha.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"56. 4 Queijos";"Molho de tomate caseiro, mussrela, Parmesão, provolone, catupiry e orégano. ";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696672530blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"57. 5 Queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry, cheddar e orégano. ";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696892883blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"58. 6 Queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, gorgonzola, catupiry, cheddar e orégano.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"59. 4 Queijos com bacon";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry, bacon e orégano. ";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"6. Brócolis com bacon e catupiry";"Molho de tomate caseiro, mussarela, brócolis, bacon e catupiry";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"60. 5 Queijos com bacon";"Molho de tomate caseiro, mussarela, parmesão, provolone, catupiry, cheddar, bacon e orégano.";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"61. 6 Queijos com bacon";"Molho de tomate caseiro, mussarela, provolone, parmesão, gorgonzola, catupiry, cheddar e orégano. ";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"62. Banana com chocolate preto e leite condensado. ";"Mussarela, banana, chocolate preto e leite condensado.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"63. Banana com canela";"Mussarela, banana, açúcar, canela e leite condensado";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"64. Banana leite ninho e chocolate ao leite";"Banana com leite ninho, chocolate ao leite e leite condensado. ";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"65. Banana leite ninho e leite condensado";"";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"66. Brigadeiro";"Chocolate preto e granulado";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"67. Chocolate branco";"Mussarela, chocolate branco e leite condensado. ";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"68. Bem casado";"Mussarela, chocolate preto, chocolate branco e leite condensado";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"69. Califórnia";"Mussarela, abacaxi, pêssego, figo, açúcar, canela e leite condensado";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"7. Bacon";"Molho de tomate caseiro, mussarela, bacon e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"70. Confeti";"Mussarela, chocolate preto, confeti e leite condensado.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748755908566blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"71. Charge";"Mussarela, chocolate preto, amendoim e leite condensado";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"72. Charge branco";"Mussarela, chocolate branco, amendoim e leite condensado";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"73. Chocolate preto";"Mussarela, chocolate preto e leite condensado. ";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747415352983blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"74. Prestigio";"Mussarela, chocolate preto, coco ralado e leite condensado";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"75. Prestigio branco";"Mussarela, chocolate branco, coco ralado e leite condensado";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747415797150blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"76. Romeu e julieta";"Mussarela e goiabada";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"77. Abacaxí com coco";"Mussarela, abacaxí picado, coco ralado, chocolate branco e leite condensado";"56,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"78. Banana nevada";"Mussarela, banana, canela, chocolate branco e leite condensado. ";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737698403341blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"79. Banoffe";"Mussarela banana, canela e doce de leite";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"8. Bacon com abacaxi";"Molho caseiro, mussarela, bacon e abacaxi.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"80. Sensação";"Mussarela, chocolate preto, morango e leite condensado";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747415228884blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"81. Sensação branca";"Mussarela, chocolate branco, morango e leite condensado";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747415101011blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"82. Sonho de valsa";"Mussarela, chocolate preto, bombom sonho de valsa e leite condensado";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"83. Óreo";"Mussarela, chocolate branco, biscoito óreo e leite condensado";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737698720390blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"9. Baiana";"Molho de tomate caseiro, mussarela, calabresa, cebola, pimenta calabresa, azeitonas verde e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"BARBECUE";"Molho de tomate caseiro, mussarela, lombo ao molho Barbecue e orégano.";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"CATUPERU";"Molho de tomate caseiro, mussarela, peito de peru, catupiry e orégano.";"40,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"CHOCOLATE BRANCO COM NOZES";"Mussarela, chocolate branco, nozes e leite condensado. ";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"FLORESTA NEGRA";"Chocolate preto e cerejas.";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"FUGAZZETA";"Molho de tomate caseiro, mussarela, cebola, azeitonas verdes e orégano.";"40,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"GAÚCHA";"Molho de tomate caseiro, mussarela, filé, cebola, pimentão, tomate, barbecue e orégano.";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"ITALIAN ";"Molho de tomate caseiro, mussarela, salame, tomate, azeitonas pretas e orégano.   ";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"LA CANTINA";"Molho de tomate caseiro, mussarela, tomate seco, manjericão, champignon, azeitonas pretas e orégano.";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"LINGUIÇA BLUMENAU";"Molho de tomate caseiro, linguiça Blumenau, mussarela, catupiry e orégano.";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"NORDESTINA ";" Molho de tomate caseiro, carne seca, cebola roxa, catupiry, mussarela, pimenta biquinho e orégano. ";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"PRESUNTO E QUEIJO (MODA ARGENTINA)";"Molho de tomate caseiro, mussarela, presunto e orégano.";"40,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"PRIMAVERA";"Palmito, ervilha e ovos de codorna.";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"SPECIALE";" Molho de tomate caseiro, mussarela, anéis de cebola na manteiga, salsinha e orégano. ";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"TOSCANA";"Molho de tomate caseiro, mussarela, salame, provolone, manjericão e oregano.";"56,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"1. Alho e óleo";"Molho de tomate caseiro, mussarela, alho frito e azeitonas pretas e orégano. ";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737694644503blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"10. Bauru";"Molho de tomate caseiro, mussarela, presunto, tomate e orégano.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695122243blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"11. Calabresa";"Molho de tomate caseiro, mussarela, calabresa e orégano. ";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695269496blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"12. Calabresa com cebola";"Molho de tomate caseiro, mussarela, calabresa, cebola e orégano.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695778147blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"13. Calabresa especial";"Molho de tomate caseiro, mussarela, calabresa, cebola, catupiry e ovos.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"14. Catulabresa";"Molho de tomate caseiro, mussarela, calabresa e catupiry.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"15. Canadense";"Molho de tomate caseiro, mussarela, lombo canadense, catupiry e orégano.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695323565blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"16. Carbonara";"Molho de tomate caseiro, mussarela, Bacon, ovos e creme de leite";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"17. Crocante";"Molho de tomate caseiro, mussarela, bacon, batata palha e orégano. ";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695399619blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"18. Difiori";"Molho de tomate caseiro, mussarela, frango, bacon, tomate e creme de leite";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"19. Frango catupiry";"Molho de tomate caseiro, mussarela, frango com catupiry e orégano.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696013237blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"2. Alhobresa";"Molho de tomate caseiro, mussarela, calabresa, alho e orégano. ";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"20. Frango caipira";"Molho de tomate caseiro, mussarela, frango, milho, bacon, catupiry e orégano.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696152259blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"21. Fricasse";"Molho de tomate caseiro, mussarela, frango, milho, creme de leite e batata palha.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"22. Havaiana";"Molho de tomate caseiro, mussarela, lombo canadense, abacaxi e orégano.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695866889blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"23. Italiana";"Molho de tomate caseiro, mussarela, presunto, bacon, milho, palmito e orégano.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"24. La torre";"Molho de tomate caseiro, mussarela, lombo canadense, palmito e creme de leite.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Média 30cm";"25. Lombinho";"Molho de tomate caseiro, mussarela, lombo canadense, cebola e orégano.";"55,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696261278blob"
